الجنس;"الفئة العمرية";الحجم
إناث;0-9;2687
إناث;10-19;4547
إناث;20-29;3347
إناث;30-39;4171
إناث;40-49;2429
إناث;50-59;1250
إناث;60-69;675
إناث;70-79;66
إناث;80+;133
ذكور;0-9;3110
ذكور;10-19;4321
ذكور;20-29;3614
ذكور;30-39;2875
ذكور;40-49;3126
ذكور;50-59;1609
ذكور;60-69;684
ذكور;70-79;0
ذكور;80+;66
