,Gender,Age,Count
0,إناث,0-9,2687
1,إناث,10-19,4547
2,إناث,20-29,3347
3,إناث,30-39,4171
4,إناث,40-49,2429
5,إناث,50-59,1250
6,إناث,60-69,675
7,إناث,70-79,66
8,إناث,80+,133
9,ذكور,0-9,3110
10,ذكور,10-19,4321
11,ذكور,20-29,3614
12,ذكور,30-39,2875
13,ذكور,40-49,3126
14,ذكور,50-59,1609
15,ذكور,60-69,684
16,ذكور,70-79,0
17,ذكور,80+,66
18,المجموع,المجموع,38710
