الاسم;الحجم
"مساجد الجمع";8
"مناطق الحجاج";0
"مصليات العيد";0
"خدمات التعليم الأخرى";3
"رياض الأطفال والتمهيدي";2
"الكليات والجامعات للبنين";1
"المدارس الابتدائية الأخرى";1
"المدارس الابتدائية الخاصة للبنين";1
مراكز التعليم المستمر;1
"المدارس الخاصة الشاملة للبنين";1
"الكليات والجامعات للبنات";1
"المدارس العالمية";1
"مدارس السفارات والجاليات";0
"الكليات والجامعات الأخرى";0
"المدارس الحكومية الشاملة للبنين";0
"المدارس الخاصة الشاملة للبنات";0
"مرافق المعاقين والتعليم الخاص";0
"مدارس تحفيظ القرآن الثانوية للبنات";0
"المدارس المتوسطة الحكومية للبنين";0
"مدارس تحفيظ القرآن الابتدائية للبنين";0
"مدارس تحفيظ القرآن الابتدائية للبنات";0
"المدارس الابتدائية الخاصة للبنات";0
"المدارس الابتدائية الحكومية للبنات";0
"المدارس المتوسطة الحكومية للبنات";0
"مدارس التدريب الخاص لقيادة السيارات";0
"المدارس المتوسطة الخاصة للبنين";0
"المدارس الابتدائية الحكومية للبنين";0
"المدارس المتوسطة الخاصة للبنات";0
"مدارس تحفيظ القرآن المتوسطة للبنين";0
"المدارس الثانوية الأخرى";0
"مدارس تحفيظ القرآن المتوسطة للبنات";0
"المدارس المتوسطة الأخرى";0
"المعاهد العليا";0
"المدارس الثانوية الحكومية للبنين";0
"المدارس الحكومية الشاملة للبنات";0
"المدارس الثانوية الحكومية للبنات";0
"المدارس الثانوية الخاصة للبنين";0
"مدارس التدريب الخاص المهني والفني";0
"المدارس الثانوية الخاصة للبنات";0
"مدارس التدريب الخاص الأخرى";0
"مدارس تحفيظ القرآن الثانوية للبنين";0
"خدمات الرعاية الاجتماعية";4
"الجهات الحكومية الأخرى";1
"المرافق التأديبية والإصلاحية";0
"الخدمات الحكومية الأخرى";0
"مكاتب البريد المحلية";0
"مرافق الخدمات البريدية الأخرى";0
"الخدمات الأمنية الأخرى";0
"مكاتب البريد المركزية والرئيسية";0
"مراكز الدفاع المدني";0
"مراكز شرطة المرور";0
"مراكز الشرطة";0
"المكاتب الأجنبية";0
"المكاتب الحكومية على مستوى المدنية أو المنطقة";0
الوزارات;0
"الحدائق الإقليمية ذات مساحة أعلى من 2 هكتار";2
"ملاعب الأطفال";1
"الأنشطة الترفيهية الأخرى";1
"صالات الأفراح";1
"الاستراحات المعدة للإيجار اليومي";0
السينما;0
"حدائق المدن والبلديات الفرعية ذات مساحة 0.5 - 2 هكتار";0
"الأندية الرياضية الرجالية";0
"الصالات الرياضية";0
"مرافق التجمعات العامة الأخرى";0
"ملاعب الغولف";0
"صالات الألعاب";0
"صالات المعارض";0
"قاعات الاجتماعات";0
"مرافق التجمعات الرياضية الأخرى";0
"مضامير السباق";0
"ملاعب الكرة الطائرة";0
"المراكز الترفيهية";0
"ملاعب التنس";0
"الأندية الرياضية النسائية";0
"صالات التزلج";0
"صالات السباحة";0
"أندية ركوب الخيل";0
"صالات البولنج";0
"حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار";0
"ملاعب كرة السلة";0
"الحدائق ومناطق الترفيه الخارجية الأخرى";0
"المرافق الرياضية الأخرى";0
"الأنشطة الثقافية والترفيهية والترويحية الأخرى";0
"ميادين كرة القدم الدائمة";0
"الاستراحات المعدة للاحتفالات";0
الإستادات;0
"تأجير السيارات";2
"صالات ركاب سكة الحديد";1
"خدمات المطارات والمهابط الأخرى";0
"وسائل النقل الأخرى بالسيارة";0
"صالات المسافرين";0
الليموزين;0
"مرافق الحافلات الأخرى";0
"محطات النقل داخل المدن وبين المدن";0
"المرافق الصحية الحكومية الأخرى";1
"المستوصفات الطبية";1
"الهلال الأحمر";0
"المختبرات الطبية الحكومية";0
"مراكز الرعاية الأولية الحكومية";0
"عيادات أطباء الأسنان الحكومية";0
"المستشفيات الحكومية";0
"عيادات الأطباء الحكومية";0
"المصحات والاستراحات الخاصة";0
"المختبرات الخاصة";0
