,Gender,Age,Count
0,إناث,0-9,8235
1,إناث,10-19,7064
2,إناث,20-29,9471
3,إناث,30-39,9140
4,إناث,40-49,6317
5,إناث,50-59,2376
6,إناث,60-69,1840
7,إناث,70-79,256
8,إناث,80+,0
9,ذكور,0-9,7648
10,ذكور,10-19,10026
11,ذكور,20-29,8505
12,ذكور,30-39,9189
13,ذكور,40-49,5664
14,ذكور,50-59,3594
15,ذكور,60-69,2027
16,ذكور,70-79,1348
17,ذكور,80+,256
18,المجموع,,92956
