,Gender,Age,Count
0,إناث,0-9,8524
1,إناث,10-19,11036
2,إناث,20-29,8697
3,إناث,30-39,10198
4,إناث,40-49,8017
5,إناث,50-59,3108
6,إناث,60-69,584
7,إناث,70-79,439
8,إناث,80+,66
9,ذكور,0-9,8431
10,ذكور,10-19,10506
11,ذكور,20-29,11439
12,ذكور,30-39,9695
13,ذكور,40-49,6703
14,ذكور,50-59,4103
15,ذكور,60-69,1238
16,ذكور,70-79,332
17,ذكور,80+,0
18,المجموع,المجموع,103116
