,Gender,Age,Count
0,إناث,0-9,14748
1,إناث,10-19,20118
2,إناث,20-29,16982
3,إناث,30-39,12583
4,إناث,40-49,8635
5,إناث,50-59,5122
6,إناث,60-69,1379
7,إناث,70-79,685
8,إناث,80+,286
9,ذكور,0-9,17307
10,ذكور,10-19,21422
11,ذكور,20-29,19724
12,ذكور,30-39,12970
13,ذكور,40-49,10176
14,ذكور,50-59,8866
15,ذكور,60-69,2761
16,ذكور,70-79,689
17,ذكور,80+,416
18,المجموع,المجموع,174869
