,Gender,Age,Count
0,إناث,0-9,5823
1,إناث,10-19,9032
2,إناث,20-29,11949
3,إناث,30-39,5788
4,إناث,40-49,4784
5,إناث,50-59,2534
6,إناث,60-69,612
7,إناث,70-79,235
8,إناث,80+,216
9,ذكور,0-9,7147
10,ذكور,10-19,10114
11,ذكور,20-29,16549
12,ذكور,30-39,23378
13,ذكور,40-49,7706
14,ذكور,50-59,7085
15,ذكور,60-69,1816
16,ذكور,70-79,528
17,ذكور,80+,161
18,المجموع,المجموع,115457
