,Gender,Age,Count
0,إناث,0-9,9569
1,إناث,10-19,7561
2,إناث,20-29,12984
3,إناث,30-39,6870
4,إناث,40-49,4551
5,إناث,50-59,1232
6,إناث,60-69,380
7,إناث,70-79,159
8,إناث,80+,170
9,ذكور,0-9,8056
10,ذكور,10-19,9004
11,ذكور,20-29,10951
12,ذكور,30-39,7108
13,ذكور,40-49,3902
14,ذكور,50-59,3169
15,ذكور,60-69,531
16,ذكور,70-79,53
17,ذكور,80+,65
18,المجموع,,86315
