,Gender,Age,Count
0,إناث,0-9,4551
1,إناث,10-19,7450
2,إناث,20-29,5872
3,إناث,30-39,3635
4,إناث,40-49,3182
5,إناث,50-59,1874
6,إناث,60-69,831
7,إناث,70-79,420
8,إناث,80+,101
9,ذكور,0-9,4238
10,ذكور,10-19,7323
11,ذكور,20-29,7245
12,ذكور,30-39,5060
13,ذكور,40-49,3665
14,ذكور,50-59,2243
15,ذكور,60-69,1121
16,ذكور,70-79,216
17,ذكور,80+,374
18,المجموع,المجموع,59401
